[2022-02-28 10:37:51,713] : Hit Key 1
[2022-02-28 10:37:52,308] : Hit Key 1
[2022-02-28 10:37:52,661] : Exiting Stem Player
[2022-02-28 10:38:33,670] : Initialized Stem Player
[2022-02-28 10:38:33,722] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 10:38:34,398] : Hit Key 1
[2022-02-28 10:38:34,608] : Triggered sample allstarstems04.wav
[2022-02-28 10:38:39,228] : Hit Key 2
[2022-02-28 10:38:39,435] : Triggered sample allstarstems03.wav
[2022-02-28 10:38:42,954] : Hit Key 3
[2022-02-28 10:38:43,164] : Triggered sample allstarstems02.wav
[2022-02-28 10:38:47,868] : Hit Key 4
[2022-02-28 10:38:48,086] : Triggered sample allstarstems01.wav
[2022-02-28 10:38:48,580] : Hit Key 4
[2022-02-28 10:38:48,779] : Triggered sample allstarstems01.wav
[2022-02-28 10:38:51,837] : Exiting Stem Player
[2022-02-28 11:42:22,454] : Initialized Stem Player
[2022-02-28 11:42:22,569] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 11:42:25,762] : Set Avicii - Without You (Instrumental) [2022-02-28 114010]-1.wav on instrumental channel
[2022-02-28 11:42:27,464] : Playing ./sounds/instrumental/Avicii - Without You (Instrumental) [2022-02-28 114010]-1.wav on instrumental channel with length 7164
[2022-02-28 11:42:34,478] : Playing ./sounds/instrumental/Avicii - Without You (Instrumental) [2022-02-28 114010]-1.wav on instrumental channel with length 7164
[2022-02-28 11:42:34,479] : Looping
[2022-02-28 11:42:35,405] : Stopped playback
[2022-02-28 11:42:47,368] : Hit Key 1
[2022-02-28 11:42:47,716] : Triggered sample allstarstems04.wav
[2022-02-28 11:42:48,537] : Hit Key 4
[2022-02-28 11:42:48,916] : Triggered sample allstarstems01.wav
[2022-02-28 11:42:54,800] : Exiting Stem Player
[2022-02-28 11:43:00,253] : Initialized Stem Player
[2022-02-28 11:43:00,332] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 11:43:02,645] : Set Where To [2022-02-28 114009].wav on instrumental channel
[2022-02-28 11:43:05,459] : Set Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel
[2022-02-28 11:43:07,800] : Playing ./sounds/instrumental/Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel with length 8727
[2022-02-28 11:43:16,383] : Playing ./sounds/instrumental/Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel with length 8727
[2022-02-28 11:43:16,383] : Looping
[2022-02-28 11:43:18,943] : Exiting Stem Player
[2022-02-28 11:43:26,374] : Initialized Stem Player
[2022-02-28 11:43:26,447] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 11:43:31,236] : Set Lin-Manuel Miranda - We Don't Talk About Bruno (From 'Encanto'_Instrumental_Audio Only) [2022-02-28 114006]-1.wav on instrumental channel
[2022-02-28 11:43:32,304] : Playing ./sounds/instrumental/Lin-Manuel Miranda - We Don't Talk About Bruno (From 'Encanto'_Instrumental_Audio Only) [2022-02-28 114006]-1.wav on instrumental channel with length 9320
[2022-02-28 11:43:36,408] : Set Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel
[2022-02-28 11:43:37,145] : Playing ./sounds/instrumental/Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel with length 8727
[2022-02-28 11:43:45,723] : Playing ./sounds/instrumental/Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel with length 8727
[2022-02-28 11:43:45,723] : Looping
[2022-02-28 11:43:47,621] : Exiting Stem Player
[2022-02-28 11:43:55,501] : Initialized Stem Player
[2022-02-28 11:43:55,581] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 11:43:58,383] : Set Where To [2022-02-28 114009].wav on instrumental channel
[2022-02-28 11:44:01,914] : Set Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel
[2022-02-28 11:44:03,069] : Playing ./sounds/instrumental/Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel with length 8727
[2022-02-28 11:44:11,747] : Playing ./sounds/instrumental/Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel with length 8727
[2022-02-28 11:44:11,748] : Looping
[2022-02-28 11:44:27,345] : Initialized Stem Player
[2022-02-28 11:44:27,411] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 11:44:30,792] : Set Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel
[2022-02-28 11:44:31,756] : Playing ./sounds/instrumental/Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel with length 8727
[2022-02-28 11:44:40,486] : Playing ./sounds/instrumental/Todo De Ti lead melody [2022-02-28 114014].wav on instrumental channel with length 8727
[2022-02-28 11:44:40,488] : Looping
